EntrezGene ID	Affy HG U133B probeset
4609	
4609	
4609	
4609	
22928	
101929210	
100131608	
102465255	
90332	
90332	
169714	235239_at
169714	227146_at
169714	
169714	235239_at
169714	227146_at
100616430	
100500873	
2936	225609_at
2936	
2936	
2936	
2936	
2936	
574473	
83690	223475_at
83690	
83690	
83690	223475_at
83690	223475_at
197322	
197322	227464_at
197322	
197322	
197322	227464_at
197322	227464_at
197322	
197322	227464_at
197322	
197322	
197322	
197322	
197322	227464_at
197322	227464_at
197322	235823_at
197322	235823_at
197322	227464_at
197322	235823_at
197322	227464_at
9895	
9895	
9895	
9895	
9895	
9895	
9895	
7710	
7710	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
5104	
57657	228741_s_at
57657	228741_s_at
57657	
57657	228741_s_at
102465495	
100847049	
64285	222711_s_at
64285	222711_s_at
64285	
64285	
