EntrezGene ID	Affy HTA-2_0 probeset
56888	TC02000501.hg
407002	
4888	TC05000691.hg
4888	TC05002644.hg
4888	
440757	TC20001124.hg
440757	TC20000121.hg
100169758	TC01003936.hg
100169758	TC06001169.hg
100169758	TC03002042.hg
100169758	TC01003927.hg
100169758	TC12000188.hg
100169758	TC01003929.hg
100169758	TC06002006.hg
100169758	TC01003920.hg
100169758	TC01003925.hg
100169758	TC01003928.hg
100169758	TC02000336.hg
100169758	TC01003922.hg
100169758	TC01003935.hg
100169758	TC06000041.hg
100169758	TC01003926.hg
100169758	TC08001415.hg
100169758	TC01003933.hg
100169758	TC01003932.hg
100169758	TC05000152.hg
100169758	TC01003924.hg
100169758	TC01003931.hg
100169758	TC01003934.hg
100169758	TC01003921.hg
100169758	TC01003923.hg
100169758	TC16000560.hg
100169758	TC07000780.hg
100169758	TC01003930.hg
129790	ADDON001178.hg
129790	ADDON000983.hg
129790	
129790	TC07002070.hg
129790	TC07003277.hg
8220	TC22001213.hg
8220	TC22000492.hg
100423030	TC02000404.hg
100422924	TC12001854.hg
406982	
100313829	TC07001700.hg
199713	
5581	
26255	TC08002367.hg
26255	TC08001289.hg
100423029	
102465993	
102466251	
4758	
402778	TC11003471.hg
402778	TC11002996.hg
402778	TC11002995.hg
402778	
1238	
1238	TC03002310.hg
340168	TC06001870.hg
100500802	TC12000737.hg
100616469	TC02001580.hg
102465246	
445347	
5304	TC07000927.hg
730013	TC16001783.hg
730013	TC16001784.hg
730013	TC16000886.hg
595100	18671449
595100	18672200
595100	18672203
595100	18672202
595100	18671450
595100	18671452
595100	18672201
595100	18671451
595100	18672204
100500916	TC16000895.hg
100500916	TC16000775.hg
100533105	
101929478	TC15002294.hg
101929478	TC15000716.hg
115795	
692091	
100500803	TC03000869.hg
100616417	TC02002929.hg
26832	TC09000757.hg
26832	TC15000603.hg
26832	TC01004000.hg
1263	TC01000566.hg
1263	
100616373	TC0X000823.hg
406962	TC01002776.hg
93474	TC01006393.hg
677810	TC04000299.hg
6138	TC03002254.hg
6138	TC03000126.hg
6138	
100422866	TC01000293.hg
54780	
54780	TC10001714.hg
100033441	TC15000111.hg
100033441	TC15000093.hg
100033441	TC15000078.hg
100033441	TC15000080.hg
201229	TC17002895.hg
201229	
253018	
100500840	
407018	TC19001224.hg
407018	TC19002349.hg
102465446	
143872	TC11000944.hg
143872	TC11000947.hg
143872	
255403	
255403	TC04002964.hg
100302265	TC19000825.hg
26797	
100033816	TC15000111.hg
100033816	TC15000093.hg
100033816	TC15000080.hg
100033816	TC15000087.hg
102465256	
100422919	TC19000001.hg
100422919	TC12001072.hg
100422919	TC01000002.hg
100422919	TC02002225.hg
100422919	TC09000002.hg
100422919	TC15002055.hg
6917	TC08001216.hg
6917	
100874002	TC05000188.hg
259296	
100500864	
126014	
10321	TC06001785.hg
10321	
100422874	TC05001230.hg
102466745	
10466	TC07001743.hg
10466	
100616480	TC09000827.hg
100033435	TC15000067.hg
3263	TC11001356.hg
3263	
102465248	
101928287	TC0X000578.hg
101928287	TC0X001847.hg
84692	TC03000541.hg
84692	ADDON002517.hg
101927143	TC01003880.hg
101927143	TC01006154.hg
100033414	TC15000049.hg
100033414	TC15000052.hg
84443	TC0X001818.hg
84443	TC0X000525.hg
84443	
84616	TC17001493.hg
84616	TC17002627.hg
677818	TC01003839.hg
8754	
102465472	
27120	
27120	TC19000730.hg
100313938	TC16000152.hg
100313938	TC04001623.hg
654322	TC05000526.hg
654322	TC05002564.hg
100302226	TC19000179.hg
728072	TC0X001334.hg
728072	TC0X001330.hg
728072	TC0X001333.hg
728072	TC0X001329.hg
728072	TC0X001337.hg
728072	TC0X001332.hg
728072	TC0X002361.hg
728072	TC0X001331.hg
728072	TC0X001336.hg
728072	TC0X002362.hg
728072	TC0X001335.hg
133060	TC04000987.hg
574469	TC19000828.hg
340390	TC08000842.hg
340390	TC08002159.hg
340390	
100616382	
26716	
338755	ADDON002458.hg
338755	TC11001366.hg
101928539	TC05003015.hg
101928539	TC05001383.hg
100616188	
100422989	TC10000055.hg
57674	TC17000918.hg
57674	
100126320	TC12000245.hg
102465480	
100616118	TC11000254.hg
23120	TC05002011.hg
23120	
100126336	TC14000960.hg
79166	
8822	TC08000163.hg
8822	
284415	
100313838	TC0X000557.hg
5644	
6029	TC14001108.hg
6029	TC14000273.hg
6029	TC09000061.hg
767599	TC14000702.hg
767599	TC14000701.hg
102465449	
9972	TC06001295.hg
100616149	
100500886	
51156	
26869	TC01003132.hg
26869	TC01002274.hg
26869	TC14001027.hg
26869	TC01002265.hg
26869	TC14000214.hg
26869	TC01000218.hg
26869	TC01003162.hg
26869	TC01003117.hg
26869	TC01000225.hg
102466657	
94033	TC05000572.hg
56005	
56005	TC19001067.hg
3797	TC02001664.hg
3797	
7052	TC20000833.hg
7052	
619570	
26152	TC20000735.hg
26152	
100422957	TC02002787.hg
100422959	TC02002806.hg
