EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]
100847083	
102464828	
84437	
84437	NM_032424
401172	
102465141	
664614	
574410	
147798	NM_001145303
147798	NM_144686
154150	NM_138574
100616376	
100422949	
693230	
406893	
102465491	
100616377	
100616252	
9583	
9583	NM_004901
9583	NM_001128930
102466737	
285407	
100616183	
100126327	
100422969	
102466081	
100616289	
6084	
100423042	
219482	NM_001004742
406923	
102466878	
5475	
5475	NM_152224
5475	NM_006240
5475	NM_152226
677777	
102465496	
100187716	
677803	
100302192	
100616453	
677812	
145741	NM_207322
102465838	
693204	
102464826	
692201	
5436	NM_002696
5436	
177	NM_172197
177	NM_001206940
177	NM_001206966
177	NM_001206954
177	NM_001206936
177	
177	NM_001206932
177	NM_001136
177	NM_001206934
177	NM_001206929
100302177	
102465135	
406931	
206338	
206338	NM_173800
26775	
677828	
102466722	
100422935	
102464823	
723778	
338324	NM_176823
338324	
677846	
100126333	
442917	
55692	NM_201412
55692	NM_018032
55692	
1060	NM_001812
1060	
100500841	
100616305	
55421	
55421	NM_001114118
100616154	
693124	
102465977	
347694	
102465532	
100616206	
100422927	
100422898	
693162	
100169757	
102465447	
677766	
84220	NM_032260
84220	
84220	NM_005054
729540	NM_032260
729540	
729540	NM_005054
100033449	
4849	NM_014516
4849	
85449	NM_001029864
85449	
100302159	
642361	
100422967	
693175	
574449	
102465434	
100126337	
440888	
196410	NM_152637
196410	
767583	
102723502	
102724631	
7596	NM_003425
7596	
102724532	
100500844	
100616152	
100302225	
677823	
692203	
106481742	
106780825	
692053	
100616413	
114599	
100126332	
100847021	
574445	
100616491	
100302223	
55971	NM_018842
55971	
100616317	
100616260	
102465482	
100616120	
100500889	
100033813	
692075	
693156	
100302195	
1460	
1460	NM_001282385
1460	NM_001320
693222	
100616184	
148709	
100616405	
100616318	
94162	
26791	
100616242	
100847057	
693189	
10197	NM_005789
10197	
10197	NM_001267045
10197	NM_176863
377841	NM_198585
377841	
377841	NM_001033113
100126351	
100302112	
100616144	
100169756	
84066	NM_032126
84066	NM_001170723
84066	
84066	NM_001170724
84066	NM_001170722
100616122	
100616499	
100616371	
57835	NM_133478
57835	
57835	NM_021196
100616133	
27244	NM_014454
27244	NM_001199934
27244	NM_001199933
27244	
201799	NM_152680
201799	
100033418	
102465502	
102465457	
100616447	
407045	
407007	
4335	NM_020310
4335	
56901	NM_020142
56901	
79937	NM_033655
79937	
