EntrezGene ID	Ensembl Gene ID
29308	ENSRNOG00000004282
685907	ENSRNOG00000050184
102557244	ENSRNOG00000017519
367391	ENSRNOG00000049303
65166	ENSRNOG00000011029
315969	ENSRNOG00000009789
686298	ENSRNOG00000046535
502969	ENSRNOG00000030466
83509	ENSRNOG00000010296
311791	ENSRNOG00000007752
25415	ENSRNOG00000004781
291000	ENSRNOG00000017607
293091	ENSRNOG00000029233
65276	ENSRNOG00000018521
313421	ENSRNOG00000007639
365314	ENSRNOG00000016906
311115	ENSRNOG00000008616
29581	ENSRNOG00000017625
116465	ENSRNOG00000012074
353218	ENSRNOG00000045595
289237	ENSRNOG00000008736
79429	ENSRNOG00000010695
259243	ENSRNOG00000032350
314637	ENSRNOG00000045524
310261	ENSRNOG00000011859
498840	ENSRNOG00000042137
365528	ENSRNOG00000000783
78962	ENSRNOG00000018413
497903	ENSRNOG00000060061
287034	ENSRNOG00000021987
305025	ENSRNOG00000003237
303336	ENSRNOG00000012929
686900	ENSRNOG00000058174
311807	ENSRNOG00000042556
498185	ENSRNOG00000001383
291750	ENSRNOG00000022202
103689930	ENSRNOG00000022202
289928	ENSRNOG00000039871
308768	ENSRNOG00000015520
60446	ENSRNOG00000013890
367021	ENSRNOG00000024863
367021	ENSRNOG00000024863
29387	ENSRNOG00000016647
688311	ENSRNOG00000049235
405332	ENSRNOG00000045828
170929	ENSRNOG00000047606
689978	ENSRNOG00000023935
361095	ENSRNOG00000014358
266716	ENSRNOG00000052959
293703	ENSRNOG00000021158
24236	ENSRNOG00000004125
266777	ENSRNOG00000003741
679805	ENSRNOG00000023794
65096	ENSRNOG00000029134
310869	ENSRNOG00000053349
304763	ENSRNOG00000004099
309082	ENSRNOG00000028288
404844	ENSRNOG00000049129
303008	ENSRNOG00000020594
313139	ENSRNOG00000008908
297381	ENSRNOG00000061902
103692173	ENSRNOG00000061902
367214	ENSRNOG00000012679
308362	ENSRNOG00000031328
311730	ENSRNOG00000018485
311956	ENSRNOG00000025735
366274	ENSRNOG00000028708
246328	ENSRNOG00000009788
65261	ENSRNOG00000004072
498709	ENSRNOG00000014130
308051	ENSRNOG00000011588
307641	ENSRNOG00000011933
300446	ENSRNOG00000014065
301097	ENSRNOG00000046414
315330	ENSRNOG00000012835
298282	ENSRNOG00000007214
59295	ENSRNOG00000020456
114099	ENSRNOG00000037845
24916	ENSRNOG00000002364
296732	ENSRNOG00000010077
681190	ENSRNOG00000019176
361565	ENSRNOG00000026517
100910106	ENSRNOG00000051570
64390	ENSRNOG00000010083
83523	ENSRNOG00000010482
365215	ENSRNOG00000019596
306805	ENSRNOG00000015410
303824	ENSRNOG00000025946
405290	ENSRNOG00000047602
365176	ENSRNOG00000015456
296956	ENSRNOG00000048205
364656	ENSRNOG00000023407
100910528	ENSRNOG00000023407
362134	ENSRNOG00000004740
292534	ENSRNOG00000055179
100909510	ENSRNOG00000055179
688749	ENSRNOG00000005767
685425	ENSRNOG00000014059
